Filename,Qubits,TotalRuntime(s)
dnn_n2.qasm,2,0.880885
dnn_n3.qasm,3,0.00998166
dnn_n4.qasm,4,0.0234215
dnn_n5.qasm,5,0.0412738
dnn_n6.qasm,6,0.0485334
dnn_n7.qasm,7,0.0375535
dnn_n8.qasm,8,0.047887
dnn_n9.qasm,9,0.0590885
dnn_n10.qasm,10,0.0719958
dnn_n11.qasm,11,0.0861748
dnn_n12.qasm,12,0.10286
dnn_n13.qasm,13,0.121376
dnn_n14.qasm,14,0.142043
dnn_n15.qasm,15,0.416758
dnn_n16.qasm,16,0.461632
dnn_n17.qasm,17,0.407191
dnn_n18.qasm,18,0.40286
dnn_n19.qasm,19,1.04815
dnn_n20.qasm,20,1.41311
dnn_n21.qasm,21,2.03562
dnn_n22.qasm,22,3.75759
dnn_n23.qasm,23,8.15555
dnn_n24.qasm,24,15.6711
dnn_n25.qasm,ERROR_RUN,0.0
dnn_n26.qasm,ERROR_RUN,0.0
dnn_n27.qasm,ERROR_RUN,0.0
dnn_n28.qasm,ERROR_RUN,0.0
dnn_n29.qasm,ERROR_RUN,0.0
