Filename,Qubits,TotalRuntime(s)
ghz_n10.qasm,10,0.00896846
ghz_n11.qasm,11,0.00262983
ghz_n12.qasm,12,0.00262194
ghz_n13.qasm,13,0.00263271
ghz_n14.qasm,14,0.00263541
ghz_n15.qasm,15,0.00262512
ghz_n16.qasm,16,0.00263235
ghz_n17.qasm,17,0.00264783
ghz_n18.qasm,18,0.00265578
ghz_n19.qasm,19,0.00266779
ghz_n100.qasm,100,0.00853414
ghz_n101.qasm,101,0.0085084
ghz_n102.qasm,102,0.00851343
ghz_n103.qasm,103,0.00854532
ghz_n104.qasm,104,0.00854845
ghz_n105.qasm,105,0.00856812
ghz_n106.qasm,106,0.00858092
ghz_n107.qasm,107,0.00855298
ghz_n108.qasm,108,0.00861072
ghz_n109.qasm,109,0.00862826
ghz_n110.qasm,110,0.008634
ghz_n111.qasm,111,0.0086127
ghz_n112.qasm,112,0.00861669
ghz_n113.qasm,113,0.00864782
ghz_n114.qasm,114,0.00954757
ghz_n115.qasm,115,0.00939206
ghz_n116.qasm,116,0.00936853
ghz_n117.qasm,117,0.00937155
ghz_n118.qasm,118,0.00856951
ghz_n119.qasm,119,0.00856333
ghz_n120.qasm,120,0.00852983
ghz_n121.qasm,121,0.00857861
ghz_n122.qasm,122,0.00856122
ghz_n123.qasm,123,0.00856348
ghz_n124.qasm,124,0.00860564
ghz_n125.qasm,125,0.0085984
ghz_n126.qasm,126,0.0086108
ghz_n127.qasm,127,0.00863083
ghz_n128.qasm,128,0.0086368
ghz_n129.qasm,129,0.011258
ghz_n130.qasm,130,0.0112648
ghz_n131.qasm,131,0.0113022
ghz_n132.qasm,132,0.0113022
ghz_n133.qasm,133,0.0113095
ghz_n134.qasm,134,0.0113214
ghz_n135.qasm,135,0.0113579
ghz_n136.qasm,136,0.011408
ghz_n137.qasm,137,0.0114025
ghz_n138.qasm,138,0.0114062
ghz_n139.qasm,139,0.0123941
ghz_n140.qasm,140,0.0115152
ghz_n141.qasm,141,0.0115048
ghz_n142.qasm,142,0.0114983
ghz_n143.qasm,143,0.0115437
ghz_n144.qasm,144,0.0115453
ghz_n145.qasm,145,0.0115833
ghz_n146.qasm,146,0.0115885
ghz_n147.qasm,147,0.0116318
ghz_n148.qasm,148,0.0116451
ghz_n149.qasm,149,0.0116727
